날짜,price,제품명,next_price,미국 대두박 선물 내역.csv종가-9,미국 대두박 선물 내역.csv거래량-4,미국 대두박 선물 내역.csv변동 %-11,미국 옥수수 선물 내역.csv종가-2,미국 옥수수 선물 내역.csv거래량-7,미국 옥수수 선물 내역.csv변동 %-1,신선한 계란 선물 내역.csv종가-10,신선한 계란 선물 내역.csv거래량-7,신선한 계란 선물 내역.csv변동 %-9
2002-01-01,3300,계란,3264.0,370.7,497710.0,4.01,206.0,380430.0,3.13,3921.0,1820.0,-1.46
2002-02-01,3264,계란,3024.0,370.7,497710.0,4.01,206.0,380430.0,3.13,3921.0,1820.0,-1.46
2002-03-01,3024,계란,2922.0,370.7,497710.0,4.01,206.0,380430.0,-2.67,3921.0,1820.0,-1.46
2002-04-01,2922,계란,2754.0,370.7,497710.0,4.01,200.5,380430.0,1.0,3921.0,1820.0,-1.46
2002-05-01,2754,계란,2958.0,370.7,497710.0,4.01,202.5,380430.0,-4.44,3921.0,1820.0,-1.46
2002-06-01,2958,계란,2676.0,370.7,497710.0,4.01,193.5,380430.0,10.59,3921.0,1820.0,-1.46
2002-07-01,2676,계란,2676.0,370.7,497710.0,4.01,214.0,380430.0,5.37,3921.0,1820.0,-1.46
2002-08-01,2676,계란,3234.0,370.7,497710.0,4.01,225.5,380430.0,9.65,3921.0,1820.0,-1.46
2002-09-01,3234,계란,2832.0,370.7,497710.0,4.01,247.25,754070.0,4.95,3921.0,1820.0,-1.46
2002-10-01,2832,계란,2670.0,370.7,497710.0,4.01,259.5,341030.0,-3.08,3921.0,1820.0,-1.46
2002-11-01,2670,계란,2640.0,370.7,497710.0,4.01,251.5,736660.0,-1.59,3921.0,1820.0,-1.46
2002-12-01,2640,계란,2750.0,370.7,497710.0,4.01,247.5,514320.00000000006,-2.93,3921.0,1820.0,-1.46
2003-01-01,2750,계란,2730.0,370.7,497710.0,4.01,240.25,832420.0,-1.87,3921.0,1820.0,-1.46
2003-02-01,2730,계란,2665.0,370.7,497710.0,4.01,235.75,358100.0,1.06,3921.0,1820.0,-1.46
2003-03-01,2665,계란,2802.0,370.7,497710.0,4.01,238.25,561560.0,-2.73,3921.0,1820.0,-1.46
2003-04-01,2802,계란,2670.0,370.7,497710.0,4.01,231.75,695430.0,2.05,3921.0,1820.0,-1.46
2003-05-01,2670,계란,2700.0,370.7,497710.0,4.01,236.5,1020000.0,-1.59,3921.0,1820.0,-1.46
2003-06-01,2700,계란,2682.0,370.7,497710.0,4.01,232.75,964740.0,4.94,3921.0,1820.0,-1.46
2003-07-01,2682,계란,2700.0,370.7,497710.0,4.01,244.25,316910.0,-6.45,3921.0,1820.0,-1.46
